"Tax/VAT number","Partita IVA/Codice Fiscale",Magento_Customer
"Estimate Shipping and Tax","Stima spedizione e tasse",module,Magento_Checkout
"Estimate Shipping and Order Total","Stima spedizione",module,Magento_Checkout
"Enter your destination to get a shipping estimate.","Inserisci la destinazione e ottieni una stima.",Magento_Checkout
